date,courses_found,email_sent,duration_sec,source,note
2026-02-28,0,True,7.8,bot,github-actions-첫실행-셀렉터미동작
2026-02-28,17,True,16.6,bot,로컬테스트
2026-02-28,17,True,11.3,bot,
